entity,algorithm,track,level,n_pixels_total,n_basins,coverage_uncorrected,coverage_conformal,median_width_uncorrected,median_width_conformal,median_q_hat,coverage_gap_pre,coverage_gap_post,width_inflation_factor,entity_dir,coverage,median_signed_diff,mean_abs_diff,auc_cont_oos,tss_cont_oos,brier_cont_oos,delta_auc,delta_tss,delta_brier,benchmark_presence_n,auc_clean_oos,tss_clean_oos,t5c_auc_mean,t5c_brier_mean,t5c_sensitivity_mean,t5c_specificity_mean,t5c_tss_mean,t5c_auc_sd,t5c_brier_sd,t5c_sensitivity_sd,t5c_specificity_sd,t5c_tss_sd,z_delta_auc,competent,passes_gate_contaminated,miscovered,silent_failure
Astacus astacus,random_forest,local_only,3,14562,81,0.8664,0.9484,0.2026,0.2304,0.0141,0.0836,0.0016,1.1374,Astacus_astacus,0.8664,-0.0115,0.0507,0.8205,0.4278,0.1572,-0.0277,-0.0528,0.0127,2058.0,0.8482,0.4806,0.847,0.1445,0.7661,0.722,0.4881,0.0072,0.0021,0.0113,0.0161,0.0177,-3.8647,True,True,True,True
Astacus astacus,random_forest,local_only,10,14562,81,0.7478,0.9214,0.2395,0.3166,0.0435,0.2022,0.0286,1.322,Astacus_astacus,0.7478,-0.0304,0.082,0.8097,0.4001,0.1663,-0.0385,-0.0805,0.0218,2058.0,0.8482,0.4806,0.847,0.1445,0.7661,0.722,0.4881,0.0072,0.0021,0.0113,0.0161,0.0177,-5.3715,True,True,True,True
Astacus astacus,random_forest,local_only,20,14562,81,0.6415,0.914,0.263,0.4241,0.09,0.3085,0.036,1.6124,Astacus_astacus,0.6415,-0.0446,0.1183,0.7745,0.3328,0.1747,-0.0737,-0.1478,0.0302,2058.0,0.8482,0.4806,0.847,0.1445,0.7661,0.722,0.4881,0.0072,0.0021,0.0113,0.0161,0.0177,-10.2825,True,True,True,True
Astacus astacus,random_forest,upstream_only,3,14562,81,0.9414,0.9523,0.1198,0.1245,0.002,0.0086,-0.0023,1.0396,Astacus_astacus,0.9414,-0.0049,0.0349,0.7236,0.3373,0.1947,-0.0268,-0.0366,0.0093,2058.0,0.7504,0.374,0.7522,0.1869,0.5672,0.7991,0.3662,0.01,0.002,0.0094,0.017,0.0167,-2.6811,True,True,False,False
Astacus astacus,random_forest,upstream_only,10,14562,81,0.4876,0.9598,0.1306,0.1616,0.0155,0.4624,-0.0098,1.2381,Astacus_astacus,0.4876,-0.0254,0.0539,0.7161,0.3117,0.1961,-0.0342,-0.0623,0.0107,2058.0,0.7504,0.374,0.7522,0.1869,0.5672,0.7991,0.3662,0.01,0.002,0.0094,0.017,0.0167,-3.4215,True,True,True,True
Astacus astacus,random_forest,upstream_only,20,14562,81,0.4379,0.9632,0.138,0.2214,0.0417,0.5121,-0.0132,1.6046,Astacus_astacus,0.4379,-0.0556,0.0792,0.6958,0.2631,0.1983,-0.0545,-0.1109,0.0128,2058.0,0.7504,0.374,0.7522,0.1869,0.5672,0.7991,0.3662,0.01,0.002,0.0094,0.017,0.0167,-5.4523,True,False,True,False
Astacus astacus,random_forest,combined,3,14562,81,0.8764,0.9484,0.2017,0.2261,0.0124,0.0736,0.0016,1.1206,Astacus_astacus,0.8764,-0.0116,0.0504,0.8207,0.4345,0.1565,-0.0246,-0.0647,0.0131,2058.0,0.8453,0.4992,0.8485,0.144,0.7651,0.7284,0.4934,0.0071,0.0022,0.0104,0.0136,0.0165,-3.447,True,True,True,True
Astacus astacus,random_forest,combined,10,14562,81,0.753,0.92,0.2407,0.315,0.0419,0.197,0.03,1.3088,Astacus_astacus,0.753,-0.0316,0.0821,0.8095,0.4074,0.1653,-0.0358,-0.0918,0.0219,2058.0,0.8453,0.4992,0.8485,0.144,0.7651,0.7284,0.4934,0.0071,0.0022,0.0104,0.0136,0.0165,-5.0164,True,True,True,True
Astacus astacus,random_forest,combined,20,14562,81,0.6456,0.9167,0.2659,0.4232,0.0876,0.3044,0.0333,1.5918,Astacus_astacus,0.6456,-0.0471,0.1187,0.7773,0.3416,0.1731,-0.068,-0.1576,0.0298,2058.0,0.8453,0.4992,0.8485,0.144,0.7651,0.7284,0.4934,0.0071,0.0022,0.0104,0.0136,0.0165,-9.5283,True,True,True,True
Astacus astacus,xgboost,local_only,3,14562,81,0.7274,0.9507,0.2148,0.2354,0.01,0.2226,-0.0007,1.0955,Astacus_astacus,0.7274,-0.0076,0.0596,0.8,0.3956,0.1899,-0.0281,-0.0288,0.0058,2058.0,0.8281,0.4244,0.8372,0.1854,0.7503,0.6944,0.4447,0.0079,0.006,0.0089,0.0142,0.0126,-3.5551,True,True,True,True
Astacus astacus,xgboost,local_only,10,14562,81,0.5433,0.9422,0.2767,0.3569,0.0413,0.4067,0.0078,1.2899,Astacus_astacus,0.5433,-0.0216,0.0929,0.7923,0.3751,0.1949,-0.0358,-0.0493,0.0108,2058.0,0.8281,0.4244,0.8372,0.1854,0.7503,0.6944,0.4447,0.0079,0.006,0.0089,0.0142,0.0126,-4.5293,True,True,True,True
Astacus astacus,xgboost,local_only,20,14562,81,0.4706,0.9379,0.3203,0.5024,0.0942,0.4794,0.0121,1.5687,Astacus_astacus,0.4706,-0.0349,0.1362,0.7593,0.3012,0.2008,-0.0688,-0.1232,0.0167,2058.0,0.8281,0.4244,0.8372,0.1854,0.7503,0.6944,0.4447,0.0079,0.006,0.0089,0.0142,0.0126,-8.7044,True,True,True,True
Astacus astacus,xgboost,upstream_only,3,14562,81,0.9149,0.9539,0.1116,0.1153,0.0017,0.0351,-0.0039,1.0327,Astacus_astacus,0.9149,-0.0038,0.0425,0.703,0.2972,0.234,-0.0261,-0.0274,0.0084,2058.0,0.7291,0.3246,0.7295,0.2285,0.5561,0.7922,0.3483,0.0088,0.0044,0.0068,0.0168,0.0154,-2.971,True,True,False,False
Astacus astacus,xgboost,upstream_only,10,14562,81,0.4273,0.9617,0.1325,0.1628,0.0151,0.5227,-0.0117,1.2286,Astacus_astacus,0.4273,-0.0243,0.0625,0.7022,0.2878,0.2294,-0.027,-0.0368,0.0039,2058.0,0.7291,0.3246,0.7295,0.2285,0.5561,0.7922,0.3483,0.0088,0.0044,0.0068,0.0168,0.0154,-3.0734,True,True,True,True
Astacus astacus,xgboost,upstream_only,20,14562,81,0.385,0.9615,0.1402,0.2211,0.0404,0.565,-0.0115,1.5766,Astacus_astacus,0.385,-0.0547,0.0891,0.6844,0.248,0.2268,-0.0447,-0.0766,0.0012,2058.0,0.7291,0.3246,0.7295,0.2285,0.5561,0.7922,0.3483,0.0088,0.0044,0.0068,0.0168,0.0154,-5.0882,True,False,True,False
Astacus astacus,xgboost,combined,3,14562,81,0.7467,0.9484,0.213,0.2322,0.0098,0.2033,0.0016,1.0901,Astacus_astacus,0.7467,-0.0078,0.0605,0.797,0.3882,0.1925,-0.0356,-0.0408,0.0129,2058.0,0.8327,0.429,0.8359,0.1859,0.7489,0.6983,0.4472,0.0078,0.0064,0.0084,0.0135,0.0146,-4.5464,True,True,True,True
